,fluxes
CFAS160E,0.0
CFAS160G,0.0
CFAS180E,0.0
CFAS180G,0.0
CGLYabcpp,0.0
CGLYtex,0.0
CH4t2pp,0.0
CH4tex,0.0
CHLabcpp,0.0
CHLt2pp,0.0
CHLt3pp,0.0
CHLtex,0.0
CHOLATEtpp,0.0
CHOLD,0.0
CHOLID,0.0
CHORM,0.14552280000000004
CHORS,0.17150355000000037
CHRPL,0.00010034999999999997
CHTBSptspp,0.0
CHTBStex,0.0
CINNDO,0.0
CITL,0.0
CITt3pp,0.0
CITt7pp,0.0
CITtex,0.0
CLBtex,0.0
CLIPAabctex,0.0
CLPNH120pp,0.0
CLPNH140pp,0.0
CLPNH141pp,0.0
CLPNH160pp,0.0
CLPNH161pp,0.0
CLPNH180pp,0.0
CLPNH181pp,0.0
CLPNS120pp,0.0
CLPNS140pp,0.0
CLPNS141pp,0.0
CLPNS160pp,0.0
CLPNS161pp,0.0
CLPNS180pp,0.0
CLPNS181pp,0.0
CLt3_2pp,0.001171125
CLtex,0.00234225
CLtipp,0.0
CMPN,0.0
CMPtex,0.0
CMtex,0.0
CMtpp,0.0
CO2tex,-32.219567299999966
CO2tpp,-32.219567299999966
COBALT2abcpp,0.0
COBALT2t3pp,0.0
COBALT2tex,1.125e-05
COBALT2tpp,1.125e-05
COLIPAKpp,0.0
COLIPAPabctex,0.0
COLIPAabcpp,0.0
COLIPAabctex,0.0
CPGNR1,0.0
CPGNR2,0.0
CPGNR3,0.0
CPGNUtex,0.0
CPGNUtpp,0.0
CPGNabcpp,0.0
CPGNexs,0.0
CPGNtonex,0.0
CPH4S,0.0
CPL,0.0
CPMPS,0.0
CPPPGO,0.00010035
CPPPGO2,0.0
CRNBTCT,0.0
CRNCAL2,0.0
CRNCAR,0.0
CRNCBCT,0.0
CRNCDH,0.0
CRNDCAL2,0.0
CRNDabcpp,0.0
CRNDt2rpp,0.0
CRNDtex,0.0
CRNabcpp,0.0
CRNt2rpp,0.0
CRNt7pp,0.0
CRNt8pp,0.0
CRNtex,0.0
CS,11.757729474999989
CS1tex,0.0
CSND,0.0
CSNt2pp,0.0
CSNtex,0.0
CTBTCAL2,0.0
CTBTabcpp,0.0
CTBTt2rpp,0.0
CTECOAI6,0.0
CTECOAI7,-0.06769260000000002
CTECOAI8,0.0
CTPS2,0.07223625000000002
CU1Opp,0.0
CU1abcpp,0.0
CU2abcpp,0.0
CU2tex,0.00031905
CU2tpp,0.00031905000000000003
CURR,0.0
CUt2pp,0.0
CUt3,0.0
CUtex,0.0
CXSAMS,0.0
CYANST,0.0
CYANSTpp,0.0
CYANtex,0.0
CYNTAH,0.0
CYNTt2pp,0.0
CYNTtex,0.0
CYSDDS,0.0
CYSDS,0.0
CYSDabcpp,0.0
CYSDtex,0.0
CYSItex,0.0
CYSItpp,0.0
CYSS,0.11136689999999938
CYSSADS,0.0
CYSTA,0.0
CYSTL,0.06925995000000003
CYSabc2pp,0.0
CYSabcpp,0.0
CYStex,0.0
CYStpp,0.0
CYTBD2pp,0.0
CYTBDpp,0.0
CYTBO3_4pp,79.67480185000002
CYTD,0.0
CYTDH,0.0
CYTDK1,0.0
CYTDK2,0.0
CYTDt2pp_copy1,0.0
CYTDt2pp_copy2,0.0
CYTDtex,0.0
CYTK1,0.08145134999999934
CYTK2,0.0
DAAD,0.9836504999999999
DADA,0.0
DADK,0.0
DADNt2pp,0.0
DADNtex,0.0
DAGK120,0.0
DAGK140,0.0
DAGK141,0.0
DAGK160,0.0
DAGK161,0.0
DAGK180,0.0
DAGK181,0.0
DALAt2pp,0.0062523000000000006
DALAtex,0.0
DAMPtex,0.0
DAPAL,0.0
DAPDC,0.15442245000000002
DAPE,0.16692704999999997
DAPabcpp,0.0
DAPtex,0.0
DASYN120,0.0
DASYN140,0.0
DASYN141,0.0
DASYN160,0.028716299999999997
DASYN161,0.0338463
DASYN180,0.0
DASYN181,0.0
DATPHs,0.0
DB4PS,0.00040140000000005735
DBTS,9.000000000000002e-07
DC6PDA,0.0
DCAtex,0.0
DCMPtex,0.0
DCTPD,0.0
DCYTD,0.0
DCYTt2pp,0.0
DCYTtex,0.0
DDCAtexi,0.0
DDGALK,0.0
DDGLCNt2rpp,0.0
DDGLCNtex,0.0
DDGLK,0.0
DDPA,0.17150355000000042
DDPGALA,0.0
DGK1,0.0
DGMPtex,0.0
DGSNt2pp,0.0
DGSNtex,0.0
DGUNC,0.0
DHACOAH,0.0
DHAD1,0.3934651499999994
DHAD2,0.13073805
DHAPT,0.0
DHAtex,0.0
DHAtpp,0.0
DHBD,0.0
DHBS,0.0
DHBSH,0.0
DHBSZ3FEabcpp,0.0
DHCIND,0.0
DHCINDO,0.0
DHCURR,0.0
DHDPRy,0.16692705
DHDPS,0.16692705
DHFR,0.012075750000000347
DHFS,0.000301050000000349
DHGLYH,0.0
DHMPTR,0.0
DHNAOT4,-2.620757967494962e-19
DHNCOAS,-2.6207579674949623e-19
DHNCOAT,-2.6207579674949623e-19
DHNPA2r,0.0003010500000003489
DHNPTE,0.0
DHORD2,0.14812605000000093
DHORD5,0.0007316999999991319
DHORDfum,0.0
DHORTS,-0.14885775000000004
DHPPD,0.0
DHPPDA2,0.00020070000000002868
DHPS2,0.0003010500000003489
DHPStex,0.0
DHPStr,0.0
DHPTDCs2,0.0
DHPTDNR,0.0
DHPTDNRN,0.0
DHPTPE,0.0
DHQS,0.1715035500000004
DHQTi,0.1715035500000004
DIMPtex,0.0
DINSt2pp,0.0
DINStex,0.0
DKGLCNR1,0.0
DKGLCNR2x,0.0
DKGLCNR2y,0.0
DMATT,0.00012509999999999534
DMPPS,0.0010750499999999492
DMQMT,0.0
DMSOR1,0.0
DMSOR1pp,0.0
DMSOR2,0.0
DMSOR2pp,0.0
DMSOtex,0.0
DMSOtpp,0.0
DMStex,0.0
DM_4crsol_c,0.00010035
DM_5drib_c,0.00010125
DM_aacald_c,0.0
DM_amob_c,9e-07
DM_mththf_c,0.0
DM_oxam_c,0.0
DNMPPA,0.00030105000000034887
DNTPPA,0.00030105000000034887
DOGULNR,0.0
DOPAtex,0.0
DOXRBCNtex,0.0
DOXRBCNtpp,0.0
DPCOAK,0.00030329999999938363
DPR,0.0003032999999994086
DRPA,0.0
DSBAO1,0.0
DSBAO2,0.0
DSBCGT,0.0
DSBDR,0.0
DSBGGT,0.0
DSERDHr,0.0
DSERt2pp,0.0
DSERtex,0.0
DTARTD,0.0
DTMPK,0.011774699999999999
DTMPtex,0.0
DUMPtex,0.0
DURADx,0.0
DURIK1,0.0
DURIPP,0.0
DURIt2pp,0.0
DURItex,0.0
DUTPDP,0.011774699999999999
DXPRIi,0.0010750499999999494
DXPS,0.0012757499999999495
DXYLK,0.0
DXYLONtex,0.0
DXYLONtpp,0.0
DXYLTD,0.0
D_LACt2pp,0.0
D_LACtex,0.0
E4PD,-0.00020070000000015924
E4PP,0.0
EAR100x,0.0
EAR100y,0.0
EAR120x,0.0
EAR120y,0.0
EAR121x,0.0
EAR121y,0.0
EAR140x,0.0
EAR140y,0.0
EAR141x,0.0
EAR141y,0.0
EAR160x,0.0
EAR160y,0.0
EAR161x,0.0
EAR161y,0.0
EAR180x,0.0
EAR180y,0.0
EAR181x,0.0
EAR181y,0.0
EAR40x,0.0
EAR40y,0.0
EAR60x,0.0
EAR60y,0.0
EAR80x,0.0
EAR80y,0.0
ECA4COLIPAabctex,0.0
ECA4OALpp,0.0
ECAP1pp,0.0
ECAP2pp,0.0
ECAP3pp,0.0
ECAtpp,0.0
ECOAH1,0.16014599999999998
ECOAH2,0.160146
ECOAH3,0.160146
ECOAH4,0.160146
ECOAH5,0.160146
ECOAH6,0.1251252
ECOAH7,0.1251252
ECOAH8,0.0
EDA,0.0
EDD,0.0
EDTXS1,0.0
EDTXS2,0.0
EDTXS3,0.0
EDTXS4,0.0
EGMEACPR,9.000000000199916e-07
ENLIPAabctex,0.0
ENO,12.694587974999973
ENTCS,0.0
ENTERES,0.0
EPMEACPR,9.000000000199914e-07
ETHAAL,0.0
ETHAt2pp,7.75
ETHAtex,7.749999999999999
ETHSO3abcpp,0.0
ETHSO3tex,0.0
ETOHtex,-2.57
ETOHtrpp,-2.57
EX_12ppd__R_e,0.0
EX_12ppd__S_e,0.0
EX_14glucan_e,0.0
EX_15dap_e,0.0
EX_23camp_e,0.0
EX_23ccmp_e,0.0
EX_23cgmp_e,0.0
EX_23cump_e,0.0
EX_23dappa_e,0.0
EX_26dap__M_e,0.0
EX_2ddglcn_e,0.0
EX_2dglc_e,0.0
EX_34dhpac_e,0.0
EX_3amp_e,0.0
EX_3cmp_e,0.0
EX_3gmp_e,0.0
EX_3hcinnm_e,0.0
EX_3hpp_e,0.0
EX_3hpppn_e,0.0
EX_3ump_e,0.0
EX_4abut_e,0.0
EX_4abzglu_e,0.0
EX_4hoxpacd_e,0.0
EX_5dglcn_e,0.0
EX_5mtr_e,0.0
EX_LalaDgluMdapDala_e,0.0
EX_LalaDgluMdap_e,0.0
EX_LalaDglu_e,0.0
EX_LalaLglu_e,0.0
EX_ac_e,1.66
EX_acac_e,0.0
EX_acald_e,0.0
EX_acgal1p_e,0.0
EX_acgal_e,0.0
EX_acgam1p_e,0.0
EX_acgam_e,0.0
EX_acmana_e,0.0
EX_acmum_e,0.0
EX_acnam_e,0.0
EX_acser_e,0.0
EX_ade_e,0.0
EX_adn_e,0.0
EX_adocbl_e,0.0
EX_ag_e,0.0
EX_agm_e,0.0
EX_akg_e,0.0
EX_ala_B_e,0.0
EX_ala__D_e,0.0
EX_ala__L_e,0.0
EX_alaala_e,0.0
EX_all__D_e,0.0
EX_alltn_e,0.0
EX_amp_e,0.0
EX_anhgm_e,0.0
EX_arab__L_e,0.0
EX_arbt_e,0.0
EX_arbtn_e,0.0
EX_arbtn_fe3_e,0.0
EX_arg__L_e,0.0
EX_ascb__L_e,0.0
EX_asn__L_e,0.0
EX_aso3_e,0.0
EX_asp__L_e,0.0
EX_btn_e,0.0
EX_but_e,0.0
EX_butso3_e,0.0
EX_ca2_e,-0.00234225
EX_cbi_e,0.0
EX_cbl1_e,0.0
EX_cd2_e,0.0
EX_cellb_e,0.0
EX_cgly_e,0.0
EX_ch4_e,0.0
EX_chol_e,0.0
EX_chtbs_e,0.0
EX_cit_e,0.0
EX_cl_e,-0.00234225
EX_cm_e,0.0
EX_cmp_e,0.0
EX_co2_e,32.219567299999966
EX_cobalt2_e,-1.125e-05
EX_cpgn_e,0.0
EX_cpgn_un_e,0.0
EX_crn__D_e,0.0
EX_crn_e,0.0
EX_cs1_e,0.0
EX_csn_e,0.0
EX_cu2_e,-0.00031905
EX_cu_e,0.0
EX_cyan_e,0.0
EX_cynt_e,0.0
EX_cys__D_e,0.0
EX_cys__L_e,0.0
EX_cytd_e,0.0
EX_dad_2_e,0.0
EX_damp_e,0.0
EX_dca_e,0.0
EX_dcmp_e,0.0
EX_dcyt_e,0.0
EX_ddca_e,0.0
EX_dgmp_e,0.0
EX_dgsn_e,0.0
EX_dha_e,0.0
EX_dhps_e,0.0
EX_dimp_e,0.0
EX_din_e,0.0
EX_dms_e,0.0
EX_dmso_e,0.0
EX_dopa_e,0.0
EX_doxrbcn_e,0.0
EX_dtmp_e,0.0
EX_dump_e,0.0
EX_duri_e,0.0
EX_dxylnt_e,0.0
EX_eca4colipa_e,0.0
EX_enlipa_e,0.0
EX_enter_e,0.0
EX_etha_e,-7.75
EX_ethso3_e,0.0
EX_etoh_e,2.57
EX_f6p_e,0.0
EX_fad_e,0.0
EX_fald_e,0.0
EX_fe2_e,-0.007227450000000001
EX_fe3_e,0.0
EX_fe3dcit_e,0.0
EX_fe3dhbzs_e,0.0
EX_fe3hox_e,0.0
EX_fe3hox_un_e,0.0
EX_fecrm_e,0.0
EX_fecrm_un_e,0.0
EX_feenter_e,0.0
EX_feoxam_e,0.0
EX_feoxam_un_e,0.0
EX_fmn_e,0.0
EX_for_e,0.0
EX_fru_e,0.0
EX_frulys_e,0.0
EX_fruur_e,0.0
EX_fuc__L_e,0.0
EX_fum_e,0.0
EX_fusa_e,0.0
EX_g1p_e,0.0
EX_g3pc_e,0.0
EX_g3pe_e,0.0
EX_g3pg_e,0.0
EX_g3pi_e,0.0
EX_g3ps_e,0.0
EX_g6p_e,0.0
EX_gal1p_e,0.0
EX_gal_bD_e,0.0
EX_gal_e,0.0
EX_galct__D_e,0.0
EX_galctn__D_e,0.0
EX_galctn__L_e,0.0
EX_galt_e,0.0
EX_galur_e,0.0
EX_gam6p_e,0.0
EX_gam_e,0.0
EX_gbbtn_e,0.0
EX_gdp_e,0.0
EX_glc__D_e,0.0
EX_glcn_e,0.0
EX_glcr_e,0.0
EX_glcur1p_e,0.0
EX_glcur_e,0.0
EX_gln__L_e,0.0
EX_glu__L_e,0.0
EX_gly_e,0.0
EX_glyald_e,0.0
EX_glyb_e,0.0
EX_glyc2p_e,0.0
EX_glyc3p_e,0.0
EX_glyc__R_e,0.0
EX_glyc_e,-14.55
EX_glyclt_e,0.0
EX_gmp_e,0.0
EX_gsn_e,0.0
EX_gthox_e,0.0
EX_gthrd_e,0.0
EX_gtp_e,0.0
EX_gua_e,0.0
EX_h2_e,0.0
EX_h2o2_e,0.0
EX_h2o_e,56.08282305000011
EX_h2s_e,0.0
EX_h_e,5.7947795500000625
EX_hacolipa_e,0.0
EX_halipa_e,0.0
EX_hdca_e,0.0
EX_hdcea_e,0.0
EX_hg2_e,0.0
EX_his__L_e,0.0
EX_hom__L_e,0.0
EX_hxa_e,0.0
EX_hxan_e,0.0
EX_idon__L_e,0.0
EX_ile__L_e,0.0
EX_imp_e,0.0
EX_indole_e,0.0
EX_inost_e,0.0
EX_ins_e,0.0
EX_isetac_e,0.0
EX_k_e,-0.08783685
EX_lac__D_e,0.0
EX_lac__L_e,0.0
EX_lcts_e,0.0
EX_leu__L_e,0.0
EX_lipoate_e,0.0
EX_lys__L_e,0.0
EX_lyx__L_e,0.0
EX_mal__D_e,0.0
EX_mal__L_e,0.0
EX_malt_e,0.0
EX_malthx_e,0.0
EX_maltpt_e,0.0
EX_malttr_e,0.0
EX_maltttr_e,0.0
EX_man6p_e,0.0
EX_man_e,0.0
EX_manglyc_e,0.0
EX_melib_e,0.0
EX_meoh_e,9.000000000000003e-07
EX_mepn_e,0.0
EX_met__D_e,0.0
EX_met__L_e,0.0
EX_metglcur_e,0.0
EX_metsox_R__L_e,0.0
EX_metsox_S__L_e,0.0
EX_mg2_e,-0.0039037500000000005
EX_mincyc_e,0.0
EX_minohp_e,0.0
EX_mmet_e,0.0
EX_mn2_e,-0.00031095
EX_mnl_e,0.0
EX_mobd_e,-3.1500000000000003e-06
EX_mso3_e,0.0
EX_mththf_e,0.0
EX_n2o_e,0.0
EX_na1_e,0.0
EX_nac_e,0.0
EX_nh4_e,2.8900382499999413
EX_ni2_e,-0.00014535000000000006
EX_nmn_e,0.0
EX_no2_e,0.0
EX_no3_e,0.0
EX_no_e,0.0
EX_novbcn_e,0.0
EX_o2_e,-39.839258075000004
EX_o2s_e,0.0
EX_ocdca_e,0.0
EX_ocdcea_e,0.0
EX_octa_e,0.0
EX_orn_e,0.0
EX_orot_e,0.0
EX_pacald_e,0.0
EX_peamn_e,0.0
EX_phe__L_e,0.0
EX_pheme_e,0.0
EX_pi_e,2.135927300000015
EX_pnto__R_e,0.0
EX_ppa_e,0.0
EX_ppal_e,0.0
EX_pppn_e,0.0
EX_ppt_e,0.0
EX_pro__L_e,0.0
EX_progly_e,0.0
EX_psclys_e,0.0
EX_pser__L_e,0.0
EX_ptrc_e,0.0
EX_pydam_e,0.0
EX_pydx_e,0.0
EX_pydxn_e,0.0
EX_pyr_e,0.0
EX_quin_e,0.0
EX_r5p_e,0.0
